source,target
infovis99--801862,infovis97--636790
infovis99--801864,infovis96--559219
infovis99--801863,infovis95--528684
infovis99--801868,infovis98--729559
infovis99--801868,infovis98--729570
infovis99--801868,infovis96--559228
infovis99--801868,infovis98--729569
infovis99--801856,infovis96--559210
infovis00--885098,infovis97--636789
infovis00--885098,infovis98--729570
infovis00--885086,infovis96--559210
infovis00--885092,infovis97--636761
infovis00--885092,infovis98--729560
infovis00--885091,infovis98--729557
infovis00--885091,infovis99--801860
infovis00--885095,infovis95--528686
infovis00--885088,infovis98--729559
infovis00--885088,infovis97--636759
infovis00--885088,infovis95--528691
infovis00--885088,infovis98--729555
infovis00--885088,infovis95--528686
infovis00--885097,infovis97--636791
infovis00--885097,infovis98--729565
infovis00--885097,infovis98--729570
infovis00--885097,infovis95--528686
infovis00--885097,infovis99--801866
infovis00--885090,infovis99--801858
infovis00--885090,infovis99--801859
infovis00--885094,infovis99--801857
infovis00--885094,infovis97--636786
infovis00--885089,infovis98--729557
infovis00--885093,infovis97--636792
infovis00--885093,infovis97--636788
infovis00--885096,infovis97--636794
infovis00--885096,infovis97--636792
infovis00--885096,infovis95--528691
infovis00--885103,infovis98--729557
infovis00--885087,infovis95--528688
infovis01--963279,infovis97--636718
infovis01--963273,infovis00--885098
infovis01--963273,infovis95--528685
infovis01--963290,infovis98--729557
infovis01--963285,infovis95--528689
infovis01--963285,infovis99--801860
infovis01--963286,infovis00--885088
infovis01--963289,infovis95--528688
infovis01--963275,infovis95--528686
infovis01--963287,infovis98--729570
infovis01--963274,infovis97--636789
infovis01--963274,infovis00--885099
infovis01--963274,infovis95--528686
infovis01--963288,infovis95--528690
infovis01--963288,infovis99--801867
infovis01--963284,infovis95--528692
infovis01--963284,infovis97--636718
infovis01--963294,infovis98--729563
infovis01--963278,infovis98--729558
infovis01--963278,infovis96--559214
infovis01--963278,infovis97--636786
infovis01--963278,infovis97--636718
infovis01--963278,infovis97--636784
infovis01--963281,infovis95--528689
infovis01--963281,infovis95--528691
infovis01--963293,infovis00--885089
infovis01--963293,infovis96--559218
infovis01--963293,infovis95--528697
infovis01--963293,infovis98--729553
infovis01--963293,infovis00--885090
infovis01--963293,infovis98--729554
infovis01--963293,infovis97--636718
infovis01--963293,infovis96--559226
infovis01--963293,infovis00--885101
infovis01--963282,infovis00--885089
infovis02--1173156,infovis01--963274
infovis02--1173156,infovis01--963279
infovis02--1173157,infovis96--559216
infovis02--1173155,infovis95--528685
infovis02--1173160,infovis01--963279
infovis02--1173151,infovis01--963290
infovis02--1173151,infovis98--729557
infovis02--1173151,infovis01--963284
infovis02--1173151,infovis99--801858
infovis02--1173151,infovis01--963285
infovis02--1173151,infovis95--528689
infovis02--1173151,infovis97--636718
infovis02--1173151,infovis01--963283
infovis02--1173151,infovis00--885091
infovis02--1173151,infovis01--963281
infovis02--1173151,infovis99--801860
infovis02--1173151,infovis01--963279
infovis02--1173153,infovis01--963290
infovis02--1173153,infovis01--963283
infovis02--1173153,infovis99--801860
infovis02--1173152,infovis98--729555
infovis02--1173145,infovis99--801858
infovis02--1173142,infovis95--528688
infovis02--1173142,infovis97--636788
infovis02--1173149,infovis98--729558
infovis02--1173149,infovis01--963286
infovis02--1173158,infovis97--636761
infovis02--1173158,infovis96--559210
infovis02--1173158,infovis00--885086
infovis02--1173143,infovis96--559211
infovis02--1173154,infovis01--963278
infovis02--1173162,infovis01--963273
infovis02--1173147,infovis01--963291
infovis03--1249028,infovis01--963290
infovis03--1249028,infovis02--1173155
infovis03--1249015,infovis98--729559
infovis03--1249015,infovis00--885086
infovis03--1249015,infovis02--1173151
infovis03--1249030,infovis02--1173141
infovis03--1249030,infovis03--1249004
infovis03--1249008,infovis96--559214
infovis03--1249008,infovis97--636786
infovis03--1249010,infovis02--1173160
infovis03--1249010,infovis01--963285
infovis03--1249004,infovis03--1249030
infovis03--1249006,infovis98--729559
infovis03--1249009,infovis96--559214
infovis03--1249009,infovis97--636718
infovis03--1249009,infovis00--885091
infovis03--1249009,infovis02--1173151
infovis03--1249009,infovis01--963279
infovis03--1249016,infovis98--729559
infovis03--1249016,infovis03--1249016
infovis03--1249007,infovis98--729560
infovis03--1249007,infovis96--559213
infovis03--1249007,infovis02--1173156
infovis03--1249017,infovis01--963275
infovis03--1249017,infovis02--1173159
infovis03--1249017,infovis02--1173161
infovis03--1249014,infovis96--559223
infovis03--1249014,infovis02--1173161
infovis03--1249014,infovis99--801855
infovis03--1249014,infovis95--528686
infovis03--1249012,infovis02--1173150
infovis03--1249012,infovis02--1173159
infovis03--1249012,infovis02--1173161
infovis03--1249020,infovis99--801862
infovis03--1249025,infovis98--729561
infovis03--1249024,infovis00--885092
infovis03--1249024,infovis02--1173157
infovis03--1249024,infovis96--559216
infovis03--1249023,infovis02--1173157
infovis03--1284026,infovis02--1173155
infovis03--1249027,infovis02--1173156
infovis03--1249026,infovis01--963285
infovis03--1249026,infovis01--963274
infovis03--1249021,infovis97--636784
infovis03--1249019,infovis98--729570
infovis04--1382905,infovis95--528688
infovis04--1382905,infovis02--1173156
infovis04--1382905,infovis03--1249008
infovis04--1382886,infovis03--1249030
infovis04--1382895,infovis98--729559
infovis04--1382895,infovis96--559215
infovis04--1382895,infovis00--885086
infovis04--1382895,infovis03--1249015
infovis04--1382909,infovis03--1249011
infovis04--1382909,infovis97--636718
infovis04--1382904,infovis02--1173141
infovis04--1382902,infovis03--1295823
infovis04--1382902,infovis01--963289
infovis04--1382902,infovis03--1284026
infovis04--1382902,infovis03--1249030
infovis04--1382902,infovis95--528686
infovis04--1382903,infovis97--636792
infovis04--1382903,infovis00--885092
infovis04--1382903,infovis99--801856
infovis04--1382885,infovis01--963285
infovis04--1382885,infovis01--963289
infovis04--1382885,infovis02--1173148
infovis04--1382885,infovis99--801860
infovis04--1382884,infovis01--963289
infovis04--1382906,infovis04--1382906
infovis04--1382906,infovis97--636718
infovis04--1382907,infovis03--1249030
infovis04--1382891,infovis02--1173150
infovis04--1382891,infovis01--963275
infovis04--1382891,infovis02--1173159
infovis04--1382891,infovis03--1249012
infovis04--1382891,infovis02--1173161
infovis04--1382891,infovis03--1249013
infovis04--1382891,infovis95--528686
infovis04--1382908,infovis99--801859
infovis04--1382888,infovis02--1173144
infovis04--1382900,infovis97--636718
infovis04--1382893,infovis98--729559
infovis04--1382893,infovis95--528686
infovis04--1382893,infovis03--1249014
infovis04--1382893,infovis03--1249015
infovis04--1382890,infovis03--1249009
infovis04--1382910,infovis02--1173159
infovis04--1382910,infovis97--636718
infovis04--1382899,infovis02--1173152
infovis04--1382899,infovis02--1173148
infovis04--1382901,infovis03--1249010
infovis04--1382901,infovis97--636791
infovis04--1382901,infovis99--801858
infovis04--1382901,infovis00--885090
infovis04--1382901,infovis03--1249005
infovis05--1532126,infovis04--1382886
infovis05--1532136,infovis98--729560
infovis05--1532136,infovis00--885092
infovis05--1532136,infovis01--963289
infovis05--1532136,infovis04--1382884
infovis05--1532150,infovis95--528697
infovis05--1532138,infovis04--1382894
infovis05--1532122,infovis00--885098
infovis05--1532122,infovis04--1382897
infovis05--1532142,infovis03--1249006
infovis05--1532142,infovis04--1382895
infovis05--1532142,infovis04--1382892
infovis05--1532129,infovis02--1173148
infovis05--1532129,infovis00--885091
infovis05--1532141,infovis04--1382894
infovis05--1532141,infovis03--1249024
infovis05--1532141,infovis02--1173157
infovis05--1532141,infovis04--1382895
infovis05--1532141,infovis03--1249008
infovis05--1532141,infovis04--1382893
infovis05--1532141,infovis03--1249015
infovis05--1532141,infovis02--1173151
infovis05--1532139,infovis02--1173157
infovis05--1532139,infovis03--1249016
infovis05--1532125,infovis04--1382889
infovis05--1532125,infovis99--801860
infovis05--1532145,infovis02--1173152
infovis05--1532145,infovis01--963283
infovis05--1532151,infovis04--1382886
infovis05--1532151,infovis03--1249009
infovis05--1532151,infovis96--559226
infovis05--1532148,infovis99--801867
infovis05--1532148,infovis99--801851
infovis05--1532148,infovis99--801860
infovis05--1532132,infovis04--1382899
infovis05--1532132,infovis00--885091
infovis05--1532149,infovis01--963274
infovis05--1532149,infovis01--963273
infovis05--1532133,infovis02--1173160
infovis05--1532133,infovis99--801853
infovis05--1532133,infovis01--963274
infovis05--1532133,infovis03--1249014
infovis05--1532124,infovis04--1382899
infovis05--1532124,infovis97--636718
infovis05--1532124,infovis02--1173148
infovis05--1532143,infovis97--636792
infovis05--1532143,infovis00--885092
infovis05--1532143,infovis96--559213
infovis05--1532143,infovis04--1382905
infovis05--1532143,infovis02--1173163
infovis05--1532143,infovis02--1173142
infovis05--1532143,infovis02--1173141
infovis05--1532143,infovis04--1382904
infovis05--1532152,infovis96--559226
infovis05--1532128,infovis04--1382900
infovis05--1532128,infovis01--963283
infovis05--1532128,infovis99--801860
infovis05--1532127,infovis04--1382905
infovis05--1532127,infovis02--1173156
infovis05--1532146,infovis00--885093
infovis05--1532146,infovis97--636718
infovis05--1532146,infovis00--885091
